════════════════════════════════════════════════════════════
 Графік чергування — C(16, 3) = 560 варіантів
════════════════════════════════════════════════════════════
      1    | Студент_01      | Студент_02      | Студент_03     
      2    | Студент_01      | Студент_02      | Студент_04     
      3    | Студент_01      | Студент_02      | Студент_05     
      4    | Студент_01      | Студент_02      | Студент_06     
      5    | Студент_01      | Студент_02      | Студент_07     
      6    | Студент_01      | Студент_02      | Студент_08     
      7    | Студент_01      | Студент_02      | Студент_09     
      8    | Студент_01      | Студент_02      | Студент_10     
      9    | Студент_01      | Студент_02      | Студент_11     
     10    | Студент_01      | Студент_02      | Студент_12     
     11    | Студент_01      | Студент_02      | Студент_13     
     12    | Студент_01      | Студент_02      | Студент_14     
     13    | Студент_01      | Студент_02      | Студент_15     
     14    | Студент_01      | Студент_02      | Студент_16     
     15    | Студент_01      | Студент_03      | Студент_04     
     16    | Студент_01      | Студент_03      | Студент_05     
     17    | Студент_01      | Студент_03      | Студент_06     
     18    | Студент_01      | Студент_03      | Студент_07     
     19    | Студент_01      | Студент_03      | Студент_08     
     20    | Студент_01      | Студент_03      | Студент_09     
     21    | Студент_01      | Студент_03      | Студент_10     
     22    | Студент_01      | Студент_03      | Студент_11     
     23    | Студент_01      | Студент_03      | Студент_12     
     24    | Студент_01      | Студент_03      | Студент_13     
     25    | Студент_01      | Студент_03      | Студент_14     
     26    | Студент_01      | Студент_03      | Студент_15     
     27    | Студент_01      | Студент_03      | Студент_16     
     28    | Студент_01      | Студент_04      | Студент_05     
     29    | Студент_01      | Студент_04      | Студент_06     
     30    | Студент_01      | Студент_04      | Студент_07     
     31    | Студент_01      | Студент_04      | Студент_08     
     32    | Студент_01      | Студент_04      | Студент_09     
     33    | Студент_01      | Студент_04      | Студент_10     
     34    | Студент_01      | Студент_04      | Студент_11     
     35    | Студент_01      | Студент_04      | Студент_12     
     36    | Студент_01      | Студент_04      | Студент_13     
     37    | Студент_01      | Студент_04      | Студент_14     
     38    | Студент_01      | Студент_04      | Студент_15     
     39    | Студент_01      | Студент_04      | Студент_16     
     40    | Студент_01      | Студент_05      | Студент_06     
     41    | Студент_01      | Студент_05      | Студент_07     
     42    | Студент_01      | Студент_05      | Студент_08     
     43    | Студент_01      | Студент_05      | Студент_09     
     44    | Студент_01      | Студент_05      | Студент_10     
     45    | Студент_01      | Студент_05      | Студент_11     
     46    | Студент_01      | Студент_05      | Студент_12     
     47    | Студент_01      | Студент_05      | Студент_13     
     48    | Студент_01      | Студент_05      | Студент_14     
     49    | Студент_01      | Студент_05      | Студент_15     
     50    | Студент_01      | Студент_05      | Студент_16     
     51    | Студент_01      | Студент_06      | Студент_07     
     52    | Студент_01      | Студент_06      | Студент_08     
     53    | Студент_01      | Студент_06      | Студент_09     
     54    | Студент_01      | Студент_06      | Студент_10     
     55    | Студент_01      | Студент_06      | Студент_11     
     56    | Студент_01      | Студент_06      | Студент_12     
     57    | Студент_01      | Студент_06      | Студент_13     
     58    | Студент_01      | Студент_06      | Студент_14     
     59    | Студент_01      | Студент_06      | Студент_15     
     60    | Студент_01      | Студент_06      | Студент_16     
     61    | Студент_01      | Студент_07      | Студент_08     
     62    | Студент_01      | Студент_07      | Студент_09     
     63    | Студент_01      | Студент_07      | Студент_10     
     64    | Студент_01      | Студент_07      | Студент_11     
     65    | Студент_01      | Студент_07      | Студент_12     
     66    | Студент_01      | Студент_07      | Студент_13     
     67    | Студент_01      | Студент_07      | Студент_14     
     68    | Студент_01      | Студент_07      | Студент_15     
     69    | Студент_01      | Студент_07      | Студент_16     
     70    | Студент_01      | Студент_08      | Студент_09     
     71    | Студент_01      | Студент_08      | Студент_10     
     72    | Студент_01      | Студент_08      | Студент_11     
     73    | Студент_01      | Студент_08      | Студент_12     
     74    | Студент_01      | Студент_08      | Студент_13     
     75    | Студент_01      | Студент_08      | Студент_14     
     76    | Студент_01      | Студент_08      | Студент_15     
     77    | Студент_01      | Студент_08      | Студент_16     
     78    | Студент_01      | Студент_09      | Студент_10     
     79    | Студент_01      | Студент_09      | Студент_11     
     80    | Студент_01      | Студент_09      | Студент_12     
     81    | Студент_01      | Студент_09      | Студент_13     
     82    | Студент_01      | Студент_09      | Студент_14     
     83    | Студент_01      | Студент_09      | Студент_15     
     84    | Студент_01      | Студент_09      | Студент_16     
     85    | Студент_01      | Студент_10      | Студент_11     
     86    | Студент_01      | Студент_10      | Студент_12     
     87    | Студент_01      | Студент_10      | Студент_13     
     88    | Студент_01      | Студент_10      | Студент_14     
     89    | Студент_01      | Студент_10      | Студент_15     
     90    | Студент_01      | Студент_10      | Студент_16     
     91    | Студент_01      | Студент_11      | Студент_12     
     92    | Студент_01      | Студент_11      | Студент_13     
     93    | Студент_01      | Студент_11      | Студент_14     
     94    | Студент_01      | Студент_11      | Студент_15     
     95    | Студент_01      | Студент_11      | Студент_16     
     96    | Студент_01      | Студент_12      | Студент_13     
     97    | Студент_01      | Студент_12      | Студент_14     
     98    | Студент_01      | Студент_12      | Студент_15     
     99    | Студент_01      | Студент_12      | Студент_16     
    100    | Студент_01      | Студент_13      | Студент_14     
    101    | Студент_01      | Студент_13      | Студент_15     
    102    | Студент_01      | Студент_13      | Студент_16     
    103    | Студент_01      | Студент_14      | Студент_15     
    104    | Студент_01      | Студент_14      | Студент_16     
    105    | Студент_01      | Студент_15      | Студент_16     
    106    | Студент_02      | Студент_03      | Студент_04     
    107    | Студент_02      | Студент_03      | Студент_05     
    108    | Студент_02      | Студент_03      | Студент_06     
    109    | Студент_02      | Студент_03      | Студент_07     
    110    | Студент_02      | Студент_03      | Студент_08     
    111    | Студент_02      | Студент_03      | Студент_09     
    112    | Студент_02      | Студент_03      | Студент_10     
    113    | Студент_02      | Студент_03      | Студент_11     
    114    | Студент_02      | Студент_03      | Студент_12     
